"","County","year.peak.prod","sum.coal.prod"
"1","Allegheny",1998.74220226086,3432854
"2","Armstrong",2001.3255563187,31591514
"3","Beaver",2001.621837518,1584594
"4","Bedford",2006.363166921,1481641
"5","Berks",2008.06666666667,1208460
"6","Blair",2001.19523514592,595779
"7","Butler",1997.42729691212,6959278
"8","Cambria",2003.98430337814,17956284
"9","Cameron",2008.96616310354,455686
"10","Carbon",2014.70892443327,917851
"11","Centre",1994.8696511248,2543689
"12","Clarion",2000.52289171423,7930839
"13","Clearfield",2003.53912402734,59160819
"14","Clinton",1989.43131921665,615820
"15","Columbia",2001.39014480495,5428751
"16","Dauphin",2006.48859888947,2611193
"17","Elk",2000.66927510541,6945534
"18","Fayette",1999.99593369558,15980112
"19","Fulton",2021,60828
"20","Greene",2001.60109234919,16473853
"21","Huntingdon",2007.72987198922,142488
"22","Indiana",2004.09677169248,40137626
"23","Jefferson",2000.24742300466,22192706
"24","Lackawanna",2001.89810822662,1993262
"25","Lawrence",1994.35516458351,2696868
"26","Luzerne",2006.54014366724,17569907
"27","Lycoming",2005.74094306558,1731905
"28","Mercer",2000.35184198511,1522135
"29","Monongalia",2005.13216947531,618804
"30","Montgomery",2010.24444444444,1812690
"31","Northumberland",2004.80819566612,18758158
"32","Schuylkill",2004.25995002268,80374465
"33","Somerset",2004.01647133705,44044269
"34","Sullivan",1994.59100140179,626342
"35","Tioga",1997.40311441434,159709
"36","Venango",2002.9273335041,2885071
"37","Washington",2000.24139447007,10426900
"38","Westmoreland",2000.44483438831,12280685
